00:00:00$00:00:00$18:53:04$19:58:05$1$0$0$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:00$01:05:00$00:00:00$1$0$51,68$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:00$01:05:00$00:00:00$1$0$51,69$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:01$01:04:59$00:00:01$1$0$51,7$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:02$01:04:58$00:00:02$1$0$51,71$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:02$01:04:58$00:00:02$1$0$51,72$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:03$01:04:57$00:00:03$1$0$51,73$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:04$01:04:56$00:00:04$1$0$51,74$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:05$01:04:55$00:00:05$1$0$51,75$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:07$01:04:53$00:00:07$1$0$51,78$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:08$01:04:52$00:00:08$1$0$51,79$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:09$01:04:51$00:00:09$1$0$51,81$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:09$01:04:51$00:00:09$1$0$51,81$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:11$01:04:49$00:00:11$1$0$51,83$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:12$01:04:48$00:00:12$1$0$51,85$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:13$01:04:47$00:00:13$1$0$51,85$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:13$01:04:47$00:00:13$1$0$51,86$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
