00:00:00$00:00:25$01:04:35$00:00:25$1$0$52,02$41,025295$28,888165$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:25$01:04:35$00:00:25$1$0$52,02$41,025293$28,888163$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:26$01:04:34$00:00:26$1$0$52,03$41,025293$28,888163$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:26$01:04:34$00:00:26$1$0$52,04$41,025291$28,888166$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:27$01:04:33$00:00:27$1$0$52,04$41,025291$28,888166$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:27$01:04:33$00:00:27$1$0$52,05$41,025283$28,888166$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:28$01:04:32$00:00:28$1$0$52,06$41,025283$28,888166$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:28$01:04:32$00:00:28$1$0$52,06$41,025284$28,888168$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:29$01:04:31$00:00:29$1$0$52,07$41,025284$28,888168$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:29$01:04:31$00:00:29$1$0$52,08$41,025289$28,888173$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:30$01:04:30$00:00:30$1$0$52,08$41,025289$28,888173$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:30$01:04:30$00:00:30$1$0$52,09$41,02529$28,888176$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:31$01:04:29$00:00:31$1$0$52,1$41,02529$28,888176$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:31$01:04:29$00:00:31$1$0$52,1$41,025293$28,888179$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:32$01:04:28$00:00:32$1$0$52,11$41,025293$28,888179$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:32$01:04:28$00:00:32$1$0$52,12$41,025293$28,888179$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:33$01:04:27$00:00:33$1$0$52,12$41,025293$28,888179$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:33$01:04:27$00:00:33$1$0$52,13$41,025292$28,888181$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:34$01:04:26$00:00:34$1$0$52,14$41,025292$28,888181$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:34$01:04:26$00:00:34$1$0$52,15$41,0253$28,888182$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:35$01:04:25$00:00:35$1$0$52,15$41,0253$28,888182$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:35$01:04:25$00:00:35$1$0$52,16$41,025292$28,888185$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:36$01:04:24$00:00:36$1$0$52,16$41,025292$28,888185$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:36$01:04:24$00:00:36$1$0$52,17$41,025292$28,888185$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:37$01:04:23$00:00:37$1$0$52,18$41,025292$28,888185$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:37$01:04:23$00:00:37$1$0$52,19$41,025292$28,888185$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:38$01:04:22$00:00:38$1$0$52,19$41,025292$28,888185$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:38$01:04:22$00:00:38$1$0$52,2$41,025287$28,888193$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:39$01:04:21$00:00:39$1$0$52,21$41,025287$28,888193$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:39$01:04:21$00:00:39$1$0$52,21$41,025287$28,888193$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:40$01:04:20$00:00:40$1$0$52,22$41,025287$28,888193$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:40$01:04:20$00:00:40$1$0$52,23$41,025287$28,888193$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:41$01:04:19$00:00:41$1$0$52,23$41,025287$28,888193$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$173$0$2$0$56000$0$0$
00:00:00$00:00:41$01:04:19$00:00:41$1$0$52,24$41,025278$28,888201$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$174$0$2$0$56000$0$0$
00:00:00$00:00:42$01:04:18$00:00:42$1$0$52,25$41,025278$28,888201$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$179$0$2$0$56000$0$0$
